T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.500	17.125	17.625	17.063	17.625	17.063	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.125	17.125	17.250	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.563	17.063	17.625	17.000	17.438	
17.125	17.125	17.250	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.375	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.063	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.500	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.188	17.125	17.500	17.063	17.563	17.063	17.563	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.125	17.500	17.063	17.563	17.063	17.563	17.063	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.375	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.563	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.375	17.125	17.438	17.313	17.125	17.063	17.500	17.063	17.563	17.000	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.063	17.188	17.375	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.063	17.438	17.250	17.125	17.125	17.563	17.063	17.563	17.000	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.063	17.438	17.250	17.125	17.125	17.500	17.063	17.563	17.000	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.063	17.500	17.063	17.625	17.063	17.625	17.000	17.375	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.063	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.375	17.125	17.438	17.313	17.188	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.000	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.125	17.563	17.063	17.625	17.000	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.375	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.375	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.375	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.063	17.188	17.375	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.188	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.188	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.375	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.375	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.125	17.500	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.563	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.375	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.125	17.625	17.063	17.625	17.000	17.438	
17.125	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.500	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.563	17.063	17.625	17.063	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.250	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.125	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.125	17.625	17.063	17.625	17.063	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.063	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.188	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.063	17.563	17.063	17.563	17.000	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.375	17.125	17.375	17.250	17.125	17.063	17.500	17.063	17.563	17.000	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.125	17.563	17.063	17.563	17.063	17.563	17.000	17.438	
17.063	17.125	17.188	17.438	17.063	17.438	17.250	17.125	17.063	17.500	17.063	17.563	17.000	17.625	17.000	17.438	
17.063	17.063	17.188	17.375	17.125	17.438	17.250	17.125	17.125	17.500	17.063	17.563	17.000	17.563	17.000	17.375	
17.063	17.063	17.188	17.375	17.063	17.438	17.250	17.125	17.063	17.500	17.063	17.563	17.000	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.063	17.375	17.250	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.375	17.125	17.438	17.250	17.125	17.125	17.500	17.063	17.563	17.000	17.625	17.000	17.375	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.125	17.500	17.063	17.563	17.000	17.625	17.000	17.375	
17.063	17.125	17.188	17.375	17.125	17.438	17.250	17.125	17.125	17.563	17.063	17.563	17.000	17.625	17.000	17.375	
17.063	17.063	17.188	17.375	17.125	17.438	17.250	17.125	17.125	17.563	17.063	17.563	17.000	17.563	17.000	17.375	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.063	17.563	17.063	17.563	17.000	17.625	17.000	17.375	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.375	
17.000	17.125	17.188	17.438	17.063	17.438	17.313	17.125	17.063	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.000	17.125	17.188	17.438	17.125	17.375	17.313	17.125	17.063	17.563	17.063	17.563	17.000	17.563	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.063	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.375	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.063	17.500	17.063	17.563	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.063	17.500	17.063	17.563	17.063	17.625	17.000	17.375	
17.063	17.125	17.188	17.375	17.063	17.438	17.313	17.125	17.063	17.500	17.063	17.563	17.063	17.625	17.000	17.375	
17.063	17.125	17.188	17.375	17.125	17.438	17.313	17.125	17.125	17.500	17.063	17.563	17.063	17.625	17.000	17.375	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.125	17.500	17.125	17.563	17.000	17.625	17.000	17.375	
17.063	17.125	17.188	17.438	17.125	17.438	17.313	17.125	17.063	17.500	17.063	17.563	17.063	17.625	17.000	17.375	
17.063	17.125	17.188	17.438	17.125	17.375	17.313	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.375	17.313	17.125	17.125	17.563	17.063	17.563	17.000	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.250	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.125	17.438	17.250	17.125	17.125	17.563	17.063	17.625	17.063	17.625	17.000	17.438	
17.063	17.125	17.188	17.438	17.063	17.438	17.250	17.125	17.063	17.500	17.063	17.563	17.000	17.625	17.000	17.438	
17.063	17.063	17.188	17.438	17.125	17.438	17.250	17.125	17.063	17.500	17.063	17.563	17.000	17.625	17.000	17.438	
17.063	17.063	17.188	17.375	17.063	17.375	17.250	17.125	17.063	17.500	17.063	17.563	17.000	17.625	17.000	17.375	
17.063	17.063	17.188	17.375	17.063	17.375	17.250	17.125	17.063	17.500	17.063	17.563	17.000	17.625	17.000	17.375	
